MiB Mem :   1827.1 total,   1632.6 free,    137.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.6 free,    135.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.4 free,    136.3 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.0 free,    135.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.9 free,    134.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.9 free,    134.8 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1632.4 free,    137.2 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1634.4 free,    135.3 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1632.0 free,    137.7 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1632.6 free,    137.1 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1633.6 free,    136.1 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1633.1 free,    136.6 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1636.5 free,    133.2 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1635.9 free,    133.8 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1634.9 free,    134.8 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1630.4 free,    139.2 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1630.8 free,    138.9 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1637.3 free,    132.4 used,     57.4 buff/cache
MiB Mem :   1827.1 total,   1639.6 free,    130.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.2 free,    138.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.0 free,    139.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.9 free,    138.8 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.3 free,    136.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.5 free,    134.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1631.7 free,    138.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.8 free,    135.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.1 free,    136.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1634.6 free,    135.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.0 free,    133.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.8 free,    132.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.4 free,    136.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.8 free,    136.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.2 free,    133.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1637.7 free,    132.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.2 free,    134.5 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.4 free,    133.4 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.1 free,    133.6 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1635.7 free,    134.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1636.9 free,    132.9 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1632.0 free,    137.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.5 free,    136.2 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.6 free,    136.1 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.0 free,    136.7 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1633.7 free,    136.0 used,     57.3 buff/cache
MiB Mem :   1827.1 total,   1630.8 free,    138.9 used,     57.3 buff/cache
